"ID";"Sex";"Regions";"Periods";"PopulationOn1January_1"
"3479";"T001038";"GM1680";"2019JJ00";"   25386"
"3539";"T001038";"GM1000";"2019JJ00";""
"3599";"T001038";"GM0738";"2019JJ00";""
"3659";"T001038";"GM0358";"2019JJ00";"   31728"
"3719";"T001038";"GM0197";"2019JJ00";"   27011"
"3779";"T001038";"GM0480";"2019JJ00";""
"3839";"T001038";"GM0648";"2019JJ00";""
"3899";"T001038";"GM0739";"2019JJ00";""
"3959";"T001038";"GM0359";"2019JJ00";""
"4019";"T001038";"GM0481";"2019JJ00";""
"4079";"T001038";"GM0305";"2019JJ00";""
"4139";"T001038";"GM0059";"2019JJ00";"   27852"
"4199";"T001038";"GM0001";"2019JJ00";""
"4259";"T001038";"GM0002";"2019JJ00";""
"4319";"T001038";"GM0360";"2019JJ00";""
"4379";"T001038";"GM0482";"2019JJ00";"   20069"
"4439";"T001038";"GM0613";"2019JJ00";"   25271"
"4499";"T001038";"GM0483";"2019JJ00";""
"4559";"T001038";"GM0361";"2019JJ00";"  108558"
"4619";"T001038";"GM0141";"2019JJ00";"   72849"
"4679";"T001038";"GM0034";"2019JJ00";"  207904"
"4739";"T001038";"GM0740";"2019JJ00";""
"4799";"T001038";"GM0484";"2019JJ00";"  110986"
"4859";"T001038";"GM0741";"2019JJ00";""
"4919";"T001038";"GM1723";"2019JJ00";"   10149"
"4979";"T001038";"GM1959";"2019JJ00";"   55386"
"5039";"T001038";"GM0142";"2019JJ00";""
"5099";"T001038";"GM1679";"2019JJ00";""
"5159";"T001038";"GM0883";"2019JJ00";""
"5219";"T001038";"GM0485";"2019JJ00";""
"5279";"T001038";"GM0060";"2019JJ00";"    3673"
"5339";"T001038";"GM0306";"2019JJ00";""
"5399";"T001038";"GM0307";"2019JJ00";"  156286"
"5459";"T001038";"GM0486";"2019JJ00";""
"5519";"T001038";"GM0198";"2019JJ00";""
"5579";"T001038";"GM0362";"2019JJ00";"   90838"
